© 2000-2017 QIAGEN. All rights reserved.

Analysis Details for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Workspace	My Projects
Project	Alicia-IPA
Analysis	OlderChildren-Combined - 2017-12-07 12:37 PM
Date	Thu Dec 07 09:38:01 PST 2017
Analysis ID	15776121

Analysis Settings
Cutoff before duplicate resolution	true
Reference set	Ingenuity Knowledge Base (Genes Only)
Relationship to include	Direct and Indirect
Includes Endogenous Chemicals	No
Optional Analyses	My Pathways My List
Filter Summary	
Consider only relationships where
confidence = Experimentally Observed

Canonical Pathways for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Ingenuity Canonical Pathways	 -log(p-value)	zScore	Ratio	Molecules
Hereditary Disorder, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	autosomal dominant myopathy	Autosomal dominant myopathy	1.21E-02	 	 	 	 	BNIP3L,ENG,CYB561,PMP22	4	
Cell Morphology, Cellular Function and Maintenance	permeability	Permeability of cells	1.21E-02	 	 	 	 	ANGPT2,IL4,ENG,PPP2CA	4	
Embryonic Development, Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Development, Organismal Development, Tissue Development	formation	Formation of lymphoid organ	1.22E-02	 	 	 	 	RPTOR,DICER1,IL4,IKZF3,PRKCZ,BANK1,CITED2	7	
Cell Death and Survival	apoptosis	Apoptosis of monocytes	1.22E-02	 	 	 	 	IL4,MS4A2	2	
Reproductive System Development and Function	decidualization	Decidualization of uterus	1.22E-02	 	 	 	 	CTSB,CITED2	2	
Organismal Survival	sudden death	Sudden death	1.22E-02	 	 	 	 	MITF,KCNH2	2	
DNA Replication, Recombination, and Repair	synthesis	Synthesis of genomic DNA	1.22E-02	 	 	 	 	IL4,PRKCH	2	
Cancer, Dermatological Diseases and Conditions, Organismal Injury and Abnormalities	hyperplasia	Hyperplasia of epidermis	1.24E-02	 	 	 	 	LRIG1,DICER1,RBL2,PRKCH	4	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Tissue Morphology	quantity	Quantity of lymphocytes	1.25E-02	 	 	 	 	TANK,RBL2,IL4,IL5RA,IKZF3,IGF1R,RPTOR,DICER1,CTSB,PRKCH,ARID3A,BANK1,TLE4,ST3GAL1	14	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cell movement	Cell movement of monocytes	1.26E-02	 	 	 	 	PTGDR2,ANGPT2,IL4,ENG,PRKCZ	5	
Humoral Immune Response, Protein Synthesis	quantity	Quantity of IgG	1.26E-02	 	 	 	 	TANK,IL4,IL5RA,IKZF3,ARID3A,BANK1	6	
Cell Death and Survival	apoptosis	Apoptosis of bone marrow cell lines	1.27E-02	 	 	 	 	IGF1R,IL4,PPP2CA	3	
Cellular Movement	invasion	Invasion of squamous cell carcinoma cell lines	1.27E-02	 	 	 	 	FOXP1,CTSB,PRKCZ	3	
Cellular Growth and Proliferation	cytostasis	Cytostasis	1.27E-02	 	 	 	 	IGF1R,ADCY3,RBL2,IL4,IKZF3,PRKCZ,GPI	7	
Cellular Movement, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	cellular infiltration	Cellular infiltration by macrophages	1.28E-02	 	 	 	 	IRF6,ANGPT2,DICER1,IL4,PPT2	5	
Cell Death and Survival, Embryonic Development	apoptosis	Apoptosis of mesenchymal cells	1.32E-02	 	 	 	 	DICER1,ATP2C1	2	
Hematological System Development and Function, Lymphoid Tissue Structure and Development, Organ Development, Organ Morphology, Tissue Development, Tissue Morphology	expansion	Expansion of thymus gland	1.32E-02	 	 	 	 	RBL2,IL4	2	
Cell Morphology, Cellular Assembly and Organization, Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation, Nervous System Development and Function, Organismal Development, Tissue Development	myelination	Myelination of axons	1.32E-02	 	 	 	 	DICER1,PMP22	2	
Cell Morphology, Nervous System Development and Function	morphology	Morphology of neuroglia	1.34E-02	 	 	 	 	IL4,NFIA,HEXA,PMP22	4	
Cancer, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders	muscle tumor	Muscle tumor	1.37E-02	 	 	 	 	SEC16B,ERI3,ANGPT2,SLC7A1,PSMC3IP,ATL3,NR0B2,OSBPL3,IGF1R,GSE1,LPIN1,DICER1,DNAH17	13	
Connective Tissue Development and Function, Connective Tissue Disorders, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Skeletal and Muscular Disorders, Skeletal and Muscular System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of broad rib	1.40E-02	 	 	 	 	HEXA	1	
Digestive System Development and Function, Endocrine System Disorders, Gastrointestinal Disease, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities	abnormal morphology	Abnormal morphology of enlarged pancreas	1.40E-02	 	 	 	 	PPT2	1	
Embryonic Development, Organ Development, Organ Morphology, Organismal Development, Organismal Injury and Abnormalities, Respiratory Disease, Respiratory System Development and Function, Tissue Development	abnormal morphology	Abnormal morphology of lung lobe	1.40E-02	 	 	 	 	CITED2	1	
Energy Production, Nucleic Acid Metabolism, Small Molecule Biochemistry	accumulation	Accumulation of ATP	1.40E-02	 	 	 	 	IRF6	1	
Cell-To-Cell Signaling and Interaction, Hematological System Development and Function, Immune Cell Trafficking, Inflammatory Response	activation	Activation of M2 macrophages	1.40E-02	 	 	 	 	IL4	1	
Lipid Metabolism, Small Molecule Biochemistry	activation	Activation of diacylglycerol	1.40E-02	 	 	 	 	IGF1R	1	
Post-Translational Modification	activation	Activation of glycoprotein	1.40E-02	 	 	 	 	CTSB	1	
Cardiovascular System Development and Function, Cell-To-Cell Signaling and Interaction	activation	Activation of lymphatic endothelial cells	1.40E-02	 	 	 	 	ANGPT2	1	
Developmental Disorder, Hereditary Disorder, Metabolic Disease, Neurological Disease, Organismal Injury and Abnormalities	adult GM2 gangliosidosis	Adult GM2 gangliosidosis	1.40E-02	 	 	 	 	HEXA	1	
Neurological Disease, Skeletal and Muscular Disorders	adult onset transitory hindlimb paralysis	Adult onset transitory hindlimb paralysis	1.40E-02	 	 	 	 	LPIN1	1	

Tox Functions for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
Categories	Functions	Diseases or Functions Annotation	p-Value	Predicted Activation State	Activation z-score	Notes	Bias-corrected z-score	Molecules	# Molecules	
Congenital Heart Anomaly	failure of heart looping	Failure of heart looping	1.45E-03	 	 	 	 	NCSTN,RBL2,ENG	3	
Congenital Heart Anomaly	congenital heart disease	Congenital heart disease	4.00E-03	 	 	 	 	NCSTN,DICER1,RBL2,ENG,KAT6B,CITED2,KCNH2	7	
Liver Damage	damage	Damage of hepatocytes	4.22E-03	 	 	 	 	IGF1R,DICER1	2	
Renal Hydronephrosis	hydronephrosis	Hydronephrosis	4.37E-03	 	 	 	 	IGF1R,SLC2A9,IL4,NFIA	4	
Liver Necrosis/Cell Death	apoptosis	Apoptosis of hepatocytes	4.94E-03	 	 	 	 	ITIH4,DICER1,CTSB,IL4,NR0B2	5	
Liver Proliferation	proliferation	Proliferation of liver cells	5.21E-03	 	 	 	 	IGF1R,ITIH4,DICER1,CTSB,IL4,CITED2	6	
Congenital Heart Anomaly	atrial septal defect type 8	Atrial septal defect type 8	7.02E-03	 	 	 	 	CITED2	1	
Cardiac Fibrosis	fibrosis	Fibrosis of ventricular tissue	7.02E-03	 	 	 	 	DICER1	1	
Cardiac Proliferation	proliferation	Proliferation of epicardial cells	7.02E-03	 	 	 	 	DICER1	1	
Congenital Heart Anomaly	Say-Barber-Biesecker-Young-Simpson syndrome	Say-Barber-Biesecker-Young-Simpson syndrome	7.02E-03	 	 	 	 	KAT6B	1	
Cardiac Arrythmia, Congenital Heart Anomaly	susceptibility to acquired long QT syndrome type 2	Susceptibility to acquired long QT syndrome type 2	7.02E-03	 	 	 	 	KCNH2	1	
Congenital Heart Anomaly	ventricular septal defect type 2	Ventricular septal defect type 2	7.02E-03	 	 	 	 	CITED2	1	
Liver Proliferation	proliferation	Proliferation of hepatocytes	8.14E-03	 	 	 	 	IGF1R,ITIH4,DICER1,IL4,CITED2	5	
Glomerular Injury, Renal Damage	injury	Injury of renal glomerulus	1.03E-02	 	 	 	 	ANGPT2,DICER1	2	
Liver Congestion	congestion	Congestion of liver	1.40E-02	 	 	 	 	ENG	1	
Cardiac Arrythmia, Congenital Heart Anomaly	digenic long QT syndrome 1/2	Digenic long QT syndrome 1/2	1.40E-02	 	 	 	 	KCNH2	1	
Cardiac Arrythmia, Congenital Heart Anomaly	digenic long QT syndrome 2/3	Digenic long QT syndrome 2/3	1.40E-02	 	 	 	 	KCNH2	1	
Cardiac Arrythmia, Congenital Heart Anomaly	digenic long QT syndrome 2/5	Digenic long QT syndrome 2/5	1.40E-02	 	 	 	 	KCNH2	1	
Cardiac Arrythmia, Congenital Heart Anomaly	digenic long QT syndrome 2/9	Digenic long QT syndrome 2/9	1.40E-02	 	 	 	 	KCNH2	1	
Pulmonary Hypertension	hereditary hemorrhagic telangiectasia-related pulmonary arterial hypertension	Hereditary hemorrhagic telangiectasia-related pulmonary arterial hypertension	1.40E-02	 	 	 	 	ENG	1	
Cardiac Dilation	dilated cardiomyopathy	Progressive dilated cardiomyopathy	1.40E-02	 	 	 	 	DICER1	1	
Liver Fibrosis, Liver Proliferation	proliferation	Proliferation of hepatic stellate cells/myofibroblasts	1.40E-02	 	 	 	 	CTSB	1	
Cardiac Fibrosis	fibrosis	Fibrosis of heart ventricle	1.64E-02	 	 	 	 	ANGPT2,DICER1	2	
Congenital Heart Anomaly	familial congenital heart disease	Familial congenital heart disease	1.88E-02	 	 	 	 	DICER1,KAT6B,CITED2,KCNH2	4	
Cardiac Arrythmia	acquired long QT syndrome	Acquired long QT syndrome	2.09E-02	 	 	 	 	KCNH2	1	
Cardiac Hemorrhaging	bleeding	Bleeding of pericardium	2.09E-02	 	 	 	 	DICER1	1	
Renal Dysfunction	dysfunction	Dysfunction of podocytes	2.09E-02	 	 	 	 	ANGPT2	1	
Cardiac Arrythmia, Congenital Heart Anomaly	long QT syndrome 3	Long QT syndrome 3	2.09E-02	 	 	 	 	KCNH2	1	
Renal Necrosis/Cell Death	cell death	Cell death of kidney cell lines	2.31E-02	 	 	 	 	IGF1R,RALB,YWHAQ,BNIP3L,HK2,CITED2,PMP22	7	
Cardiac Arrythmia, Congenital Heart Anomaly	long QT syndrome 1	Long QT syndrome 1	2.78E-02	 	 	 	 	KCNH2	1	
Congenital Heart Anomaly	mesocardia	Mesocardia	2.78E-02	 	 	 	 	CITED2	1	
Cardiac Arrythmia, Tachycardia	sustained ventricular tachycardia	Sustained ventricular tachycardia	2.78E-02	 	 	 	 	KCNH2	1	
Cardiac Arrythmia	atrial fibrillation	Symptomatic stage atrial fibrillation	2.78E-02	 	 	 	 	KCNH2	1	
Cardiac Arrythmia, Tachycardia	torsades de pointes	Torsades de pointes	2.78E-02	 	 	 	 	KCNH2	1	
Liver Hyperplasia/Hyperproliferation	liver tumor	Liver tumor	2.96E-02	 	 	 	 	RBL2,BAG2,TRAPPC9,TNIK,DICER1,FBXW8,PRKCH,DNAH17,GPI,RHBDD2,SLC25A25,SLC7A1,DDIT4,C15orf54,ENG,PSMC3IP,KIF26A,IGF1R,RPS6KA2,TMEM131,TFF2,ZNF862,SUGT1,PPT2,ZFPM1,SEC16B,SIGLEC8,MECR,AP5B1,FOXP1,NOM1,TMEM104,ATXN7L1,LPCAT2,CYB561,KCNH2,POLR2B,KRT19,ERMAP,EGFLAM,FBP1,EPX,HK2,PHF19,ST3GAL1,PPP2CA,SERINC5,ITIH4,ANGPT2,TMEM41A,IL5RA,ATL3,ACOT7,CTSB,MCC,IRGC,KAT6B,BANK1	58	
Cardiac Stenosis	stenosis	Stenosis of pulmonary artery	3.46E-02	 	 	 	 	CITED2	1	
Liver Hyperplasia/Hyperproliferation	cancer	Liver cancer	3.94E-02	 	 	 	 	RBL2,BAG2,TRAPPC9,TNIK,DICER1,FBXW8,PRKCH,DNAH17,GPI,RHBDD2,SLC25A25,SLC7A1,DDIT4,C15orf54,ENG,PSMC3IP,KIF26A,IGF1R,RPS6KA2,TMEM131,TFF2,ZNF862,SUGT1,ZFPM1,SEC16B,SIGLEC8,MECR,AP5B1,FOXP1,NOM1,TMEM104,ATXN7L1,LPCAT2,CYB561,KCNH2,POLR2B,KRT19,ERMAP,EGFLAM,FBP1,HK2,PHF19,ST3GAL1,PPP2CA,SERINC5,ITIH4,ANGPT2,TMEM41A,IL5RA,ATL3,ACOT7,CTSB,MCC,IRGC,KAT6B,BANK1	56	
Renal Inflammation, Renal Nephritis	diffuse proliferative lupus nephritis	Diffuse proliferative lupus nephritis	4.14E-02	 	 	 	 	IL4	1	
Liver Cholestasis	progressive familial intrahepatic cholestasis type 2	Progressive familial intrahepatic cholestasis type 2	4.14E-02	 	 	 	 	NR0B2	1	
Cardiac Arrythmia	short QT syndrome	Short QT syndrome	4.14E-02	 	 	 	 	KCNH2	1	
Liver Hyperplasia/Hyperproliferation	liver carcinoma	Liver carcinoma	4.31E-02	 	 	 	 	RBL2,BAG2,TRAPPC9,TNIK,DICER1,FBXW8,PRKCH,DNAH17,GPI,RHBDD2,SLC25A25,SLC7A1,DDIT4,C15orf54,ENG,PSMC3IP,KIF26A,IGF1R,RPS6KA2,TMEM131,TFF2,ZNF862,SUGT1,ZFPM1,SEC16B,SIGLEC8,MECR,AP5B1,FOXP1,NOM1,TMEM104,ATXN7L1,LPCAT2,CYB561,KCNH2,POLR2B,KRT19,ERMAP,EGFLAM,FBP1,HK2,PHF19,ST3GAL1,PPP2CA,SERINC5,ITIH4,TMEM41A,IL5RA,ATL3,ACOT7,MCC,IRGC,KAT6B,BANK1	54	
Cardiac Proliferation	proliferation	Proliferation of heart cells	4.45E-02	 	 	 	 	DICER1,FOXP1,RBL2	3	
Cardiac Dysfunction, Cardiac Fibrosis	interstitial fibrosis	Interstitial fibrosis of left ventricle	4.81E-02	 	 	 	 	ANGPT2	1	
Cardiac Necrosis/Cell Death	survival	Survival of ventricular myocytes	4.81E-02	 	 	 	 	HK2	1	
Congenital Heart Anomaly	double outlet right ventricle	Double outlet right ventricle	4.99E-02	 	 	 	 	DICER1,CITED2	2	
Liver Damage	damage	Damage of liver	5.53E-02	 	 	 	 	IGF1R,DICER1,CTSB,IL4,PRKCZ,NR0B2	6	
Liver Inflammation/Hepatitis	fulminant hepatitis	Fulminant hepatitis	6.15E-02	 	 	 	 	IL4	1	
Liver Inflammation/Hepatitis, Liver Steatosis	steatohepatitis	Steatohepatitis	6.28E-02	 	 	 	 	LPIN1,NOM1	2	
Bradycardia, Cardiac Arrythmia	sinus bradycardia	Sinus bradycardia	6.81E-02	 	 	 	 	KCNH2	1	
Renal Atrophy	atrophy	Atrophy of renal cortex	7.46E-02	 	 	 	 	SLC2A9	1	
Congenital Heart Anomaly	congenital malformation	Congenital malformation of heart	7.46E-02	 	 	 	 	DICER1	1	
Increased Levels of LDH	activation	Increased activation of LDH	7.46E-02	 	 	 	 	SMARCD3	1	
Glomerular Injury, Renal Damage	injury	Injury of podocytes	7.46E-02	 	 	 	 	ANGPT2	1	
Cardiac Arrythmia	paroxysmal familial ventricular fibrillation type 1	Paroxysmal familial ventricular fibrillation type 1	7.46E-02	 	 	 	 	KCNH2	1	
Renal Inflammation, Renal Nephritis	nephritis	Nephritis	8.46E-02	 	 	 	 	TANK,SLC2A9,IL4,IL5RA,IKZF3,PPP2CA	6	
Renal Inflammation, Renal Nephritis	autoimmune glomerulonephritis	Autoimmune glomerulonephritis	8.69E-02	 	 	 	 	TANK,PPP2CA	2	
Cardiac Damage	damage	Damage of myocardium	8.76E-02	 	 	 	 	ANGPT2	1	
Liver Inflammation/Hepatitis	experimental hepatitis	Experimental hepatitis	8.76E-02	 	 	 	 	IL4	1	
Cardiac Arrythmia	persistent atrial fibrillation	Persistent atrial fibrillation	8.76E-02	 	 	 	 	PPP2CA	1	
Liver Inflammation/Hepatitis	inflammation	Inflammation of liver	9.20E-02	 	 	 	 	IGF1R,TANK,LPIN1,NOM1,IL4,NR0B2	6	
Liver Damage, Liver Inflammation/Hepatitis	chronic hepatitis C	Chronic hepatitis C	9.33E-02	 	 	 	 	IGF1R,IL4	2	
Heart Failure	sudden cardiac death	Sudden cardiac death	9.40E-02	 	 	 	 	KCNH2	1	
Renal Inflammation, Renal Nephritis	glomerulonephritis	Glomerulonephritis	9.73E-02	 	 	 	 	TANK,IL4,IL5RA,IKZF3,PPP2CA	5	
Cardiac Arrythmia, Tachycardia	catecholaminergic polymorphic ventricular tachycardia type 1	Catecholaminergic polymorphic ventricular tachycardia type 1	1.00E-01	 	 	 	 	KCNH2	1	
Pulmonary Hypertension	primary pulmonary hypertension 1	Primary pulmonary hypertension 1	1.00E-01	 	 	 	 	ENG	1	
Pulmonary Hypertension	pulmonary hypertension	Pulmonary Hypertension	1.02E-01	 	 	 	 	RPTOR,ATP2C1,ENG	3	
Renal Damage, Renal Tubule Injury	injury	Injury of renal tubule	1.07E-01	 	 	 	 	DICER1	1	
Glutathione Depletion In Liver	quantity	Quantity of glutathione in liver	1.07E-01	 	 	 	 	IL4	1	
Cardiac Arrythmia	recurrent ventricular fibrillation	Recurrent ventricular fibrillation	1.07E-01	 	 	 	 	KCNH2	1	
Cardiac Arrythmia, Tachycardia	hemodynamically unstable ventricular tachycardia	Refractory hemodynamically unstable ventricular tachycardia	1.07E-01	 	 	 	 	KCNH2	1	
Cardiac Arrythmia	ventricular fibrillation	Refractory ventricular fibrillation	1.07E-01	 	 	 	 	KCNH2	1	
Cardiac Necrosis/Cell Death	cell death	Cell death of cardiomyocytes	1.16E-01	 	 	 	 	DICER1,RPS6KA2,BNIP3L,HK2	4	
Kidney Failure	chronic kidney disease	End-stage chronic kidney disease	1.19E-01	 	 	 	 	ATP2C1	1	
Kidney Failure	renal failure	End-stage renal failure	1.19E-01	 	 	 	 	ATP2C1	1	
Kidney Failure	acute renal failure	Severe acute renal failure	1.19E-01	 	 	 	 	ATP2C1	1	
Congenital Heart Anomaly	situs inversus totalis	Situs inversus totalis	1.25E-01	 	 	 	 	CITED2	1	
Renal Atrophy	atrophy	Atrophy of renal tubule	1.32E-01	 	 	 	 	SLC2A9	1	
Cardiac Arrythmia	Brugada syndrome type 1	Brugada syndrome type 1	1.32E-01	 	 	 	 	KCNH2	1	
Cardiac Enlargement	hypertrophy	Hypertrophy of heart cells	1.33E-01	 	 	 	 	ANGPT2,DICER1,CTSB	3	
Cardiac Proliferation	proliferation	Proliferation of cardiomyocytes	1.41E-01	 	 	 	 	FOXP1,RBL2	2	
Increased Levels of Hematocrit	hematocrit	Increased Levels of Hematocrit	1.46E-01	 	 	 	 	BNIP3L,STEAP3	2	
Renal Inflammation, Renal Nephritis	interstitial nephritis	Interstitial nephritis	1.56E-01	 	 	 	 	SLC2A9	1	
Renal Necrosis/Cell Death	apoptosis	Apoptosis of kidney cell lines	1.60E-01	 	 	 	 	RALB,YWHAQ,BNIP3L,CITED2	4	
Increased Levels of Red Blood Cells	quantity	Increased Levels of Red Blood Cells	1.63E-01	 	 	 	 	SLC7A1,BNIP3L	2	
Cardiac Arrythmia, Tachycardia	paroxysmal supraventricular tachycardia	Paroxysmal supraventricular tachycardia	1.68E-01	 	 	 	 	KCNH2	1	
Decreased Levels of Potassium	quantity	Decreased Levels of Potassium	1.73E-01	 	 	 	 	SLC2A9	1	
Cardiac Fibrosis	fibrosis	Fibrosis of heart	2.03E-01	 	 	 	 	IGF1R,ANGPT2,DICER1	3	
Liver Hyperplasia/Hyperproliferation	liver cholangiocarcinoma	Liver cholangiocarcinoma	2.08E-01	 	 	 	 	KRT19	1	
Cardiac Necrosis/Cell Death	apoptosis	Apoptosis of cardiomyocytes	2.12E-01	 	 	 	 	DICER1,RPS6KA2,BNIP3L	3	
Congenital Heart Anomaly	persistent truncus arteriosus	Persistent truncus arteriosus	2.19E-01	 	 	 	 	CITED2	1	
Liver Inflammation/Hepatitis, Liver Steatosis	nonalcoholic steatohepatitis	Nonalcoholic steatohepatitis	2.46E-01	 	 	 	 	NOM1	1	
Renal Hypoplasia	agenesis	Agenesis of kidney	2.62E-01	 	 	 	 	NFIA	1	
Liver Hypoplasia	hypoplasia	Hypoplasia of liver	2.72E-01	 	 	 	 	ARID3A	1	
Cardiac Arrythmia	atrial flutter	Atrial flutter	2.77E-01	 	 	 	 	KCNH2	1	
Cardiac Inflammation	inflammation	Inflammation of heart	2.77E-01	 	 	 	 	IL4	1	
Renal Proliferation	proliferation	Proliferation of mesangial cells	2.77E-01	 	 	 	 	ANGPT2	1	
Cardiac Arrythmia	atrial fibrillation	Atrial fibrillation	2.87E-01	 	 	 	 	KCNH2,PPP2CA	2	
Cardiac Enlargement	hypertrophy	Hypertrophy of cardiomyocytes	2.89E-01	 	 	 	 	ANGPT2,DICER1	2	
Liver Steatosis	hepatic steatosis	Hepatic steatosis	2.95E-01	 	 	 	 	LPIN1,RPTOR,PCYT1A,NOM1	4	
Cardiac Stenosis	stenosis	Stenosis of aortic valve	3.02E-01	 	 	 	 	ATP2C1	1	
Kidney Failure	end stage renal disease	End stage renal disease	3.15E-01	 	 	 	 	SLC2A9,ATP2C1	2	
Liver Fibrosis	fibrosis	Fibrosis of liver	3.20E-01	 	 	 	 	CTSB,IL4	2	
Glomerular Injury, Kidney Failure, Renal Fibrosis	interstitial fibrosis	Interstitial fibrosis of kidney	3.36E-01	 	 	 	 	SLC2A9	1	
Liver Cholestasis	progressive familial intrahepatic cholestasis type 1	Progressive familial intrahepatic cholestasis type 1	3.41E-01	 	 	 	 	NR0B2	1	
Cardiac Dilation	dilated cardiomyopathy	Dilated cardiomyopathy	3.51E-01	 	 	 	 	IGF1R,DICER1,PPP2CA	3	
Liver Steatosis	nonalcoholic fatty liver disease	Nonalcoholic fatty liver disease	3.94E-01	 	 	 	 	PCYT1A	1	
Liver Damage	injury	Injury of liver	4.02E-01	 	 	 	 	IGF1R,CTSB,IL4	3	
Liver Hyperplasia/Hyperproliferation	incidence	Incidence of liver tumor	4.03E-01	 	 	 	 	ITIH4	1	
Liver Hyperplasia/Hyperproliferation	liver metastasis	Liver metastasis	4.19E-01	 	 	 	 	IGF1R	1	
Renal Proliferation	cell proliferation	Cell proliferation of kidney cell lines	4.52E-01	 	 	 	 	PRKCZ,PMP22	2	
Hepatocellular Carcinoma, Liver Hyperplasia/Hyperproliferation	hepatocellular carcinoma	Hepatocellular carcinoma	4.80E-01	 	 	 	 	TNIK,SLC25A25,TMEM41A,ENG,FBP1,DNAH17,BAG2,IRGC	8	
Renal Damage, Renal Tubule Injury	proximal tubular toxicity	Proximal tubular toxicity	4.82E-01	 	 	 	 	PRKCZ	1	
Liver Enlargement	hepatomegaly	Hepatomegaly	4.85E-01	 	 	 	 	PPT2	1	
Cardiac Arteriopathy	coronary artery disease	Coronary artery disease	5.03E-01	 	 	 	 	LRIG1,ATP2C1,PRKCH	3	
Liver Cirrhosis	primary biliary cirrhosis	Primary biliary cirrhosis	5.10E-01	 	 	 	 	IL4	1	
Cardiac Dysfunction, Cardiac Enlargement	hypertrophy	Hypertrophy of left ventricle	5.14E-01	 	 	 	 	ANGPT2	1	
Cardiac Congestive Cardiac Failure, Heart Failure	congestive heart failure	Congestive heart failure	1.00E00	 	 	 	 	KCNH2	1	
Heart Failure	failure	Failure of heart	1.00E00	 	 	 	 	DICER1,KCNH2	2	

Regulator Effects for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM

Networks for My Projects->Alicia-IPA->OlderChildren-Combined - 2017-12-07 12:37 PM
ID	Analysis	Molecules in Network	Score	Focus Molecules	Top Diseases and Functions	
1	OlderChildren-Combined - 2017-12-07 12:37 PM	26s Proteasome,AMPK,Akt,CS,Cyclin A,ERI3,FBP1,FBXW8,FOXK2,GPI,HDL,HISTONE,HK2,Hdac,Histone h4,IRF2BPL,ITIH4,KAT6B,KCNH2,LYSMD2,MED27,NR0B2,PHF19,PP2A,PPP2CA,PRKAA,RBL2,Rb,SEC16B,SHANK2,SLC25A33,SMARCD3,SOGA1,Ubiquitin,p70 S6k	42	22	Carbohydrate Metabolism, Small Molecule Biochemistry, Cardiac Arrythmia	
2	OlderChildren-Combined - 2017-12-07 12:37 PM	14-3-3,ADRB,ANGPT2,ASCC1,CSRP1,CaMKII,Collagen type I,Creb,DDIT4,DMAP1,EHF,ENG,Fcer1,GID4,KRT19,MAP2K1/2,MS4A2,MTORC2,NDFIP2,NFkB (complex),Nfat (family),Notch,OSBPL3,PI3K (family),PRG2,PRG3,PRKCZ,PSMC3IP,Rac,Raf,SLC7A1,ST3GAL1,TOMM34,TRAPPC9,ZFPM1	39	21	Lipid Metabolism, Molecular Transport, Small Molecule Biochemistry	
3	OlderChildren-Combined - 2017-12-07 12:37 PM	ARID3A,ATP2C1,BANK1,BCR (complex),DAP,DAPK2,E2f,EPX,ERK1/2,Fc gamma receptor,IKZF3,IL5RA,IRF6,IgG,IgG1,IgG2a,IgG2b,Iga,Ige,Igg3,Igm,Immunoglobulin,LPIN1,Mek,NISCH,PCYT1A,PDE6H,PRKCH,RALB,RPTOR,Rsk,Sos,TANK,TFF2,VKORC1L1	34	19	Cellular Development, Cellular Growth and Proliferation, Hematological System Development and Function	
4	OlderChildren-Combined - 2017-12-07 12:37 PM	Actin,Ap1,BAG2,CD3,CLEC12A,CYB561,ERMAP,EVL,F Actin,GSE1,Histone h3,Hsp70,Hsp90,IL12 (complex),Insulin,Interferon alpha,Jnk,KIF5C,MITF,MTORC1,NAPA,NCK1,PI3K (complex),POLR2B,RNA polymerase II,RNASE2,RNF122,SLC2A9,SLC8B1,TCR,TNIK,YWHAQ,caspase,chemokine,cytochrome C	30	17	Cellular Development, Cellular Function and Maintenance, Cellular Growth and Proliferation	
5	OlderChildren-Combined - 2017-12-07 12:37 PM	ACOT7,AP5B1,ATL3,ATP6V1D,AURKA,CCND1,CDK2,CDK2-Cyclin D1,CREB1,ELOVL7,FLG-AS1,FOXP1,GAL3ST4,HTT,KLLN,LSM14B,MECR,MYH16,NFIA,NTRK1,POU5F1,RARA,SERINC5,SKP2,SLC22A16,STX1B,TLDC2,TLE4,TMEM104,TP53,VPS52,WDR63,miR-638 (miRNAs w/seed GGGAUCG),mir-1205,mir-638	25	15	Cell Cycle, Cancer, Cellular Development	
6	OlderChildren-Combined - 2017-12-07 12:37 PM	ACP5,ADCY,ADCY3,Alpha catenin,BNIP3L,CITED2,COL15A1,CTSB,Collagen(s),ERK,FSH,Focal adhesion kinase,Growth hormone,IGF1R,IL1,IL4,Integrin,LDL,LRIG1,Laminin (complex),Lh,METRNL,Mapk,PMP22,Pka,Ras,SLC25A25,STAT5a/b,STEAP3,TMEM131,Tgf beta,Tnf (family),Vegf,p85 (pik3r),trypsin	23	14	Neurological Disease, Organismal Injury and Abnormalities, Cell Morphology	
7	OlderChildren-Combined - 2017-12-07 12:37 PM	APP,AR,CATSPER4,CPPED1,CTNNB1,DMD,DNAH17,E2F1,EED,EMG1,ERBB2,ERN1,KIF26A,KIF3B,LPCAT2,MAPK1,MCC,MCM2,MSMB,NOM1,OCIAD2,OLFML2A,OVGP1,PCDHGA12,PPT2,RETREG1,RFPL4B,RHOBTB2,SLC17A4,SLC26A7,TAB2,TARP,TAS2R20,ZNF22,miR-516a-3p (and other miRNAs w/seed GCUUCCU)	21	13	Cancer, Organismal Injury and Abnormalities, Reproductive System Disease	
